Autor;Título;Catálogo;Descripción;Instrumentación;Fecha;Letras;Comentarios;Edición;Editor;Estreno;URL
Bach, Johann Sebastian (1685–1750);Komm, heiliger Geist, Herre Gott;BWV 652a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 121 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 66f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000742?lang=en
Bach, Johann Sebastian (1685–1750);An Wasserflüssen Babylon (18 chorale preludes);BWV 653;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 22 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 67ff.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000743?lang=en
Bach, Johann Sebastian (1685–1750);An Wasserflüssen Babylon;BWV 653a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""; four-part arrangement (cf. the earliest, five-part version BWV 653b)";NBANBA, IV/2, S. 133 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 67ff.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000744?lang=en
Bach, Johann Sebastian (1685–1750);An Wasserflüssen Babylon;BWV 653b;Chorale setting;Organ;;;"the earliest version (Weimar; five-part)";NBANBA, IV/2, S. 130 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 67ff.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000745?lang=en
Bach, Johann Sebastian (1685–1750);Schmücke dich, o liebe Seele (18 chorale preludes);BWV 654;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 26 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 69f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000746?lang=en
Bach, Johann Sebastian (1685–1750);Schmücke dich, o liebe Seele (Fantasia);BWV 654a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 136 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 69f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000747?lang=en
Bach, Johann Sebastian (1685–1750);Trio super: Herr Jesu Christ, dich zu uns wend (18 chorale preludes);BWV 655;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 31 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 70ff.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000748?lang=en
Bach, Johann Sebastian (1685–1750);Herr Jesu Christ, dich zu uns wend (variant);BWV 655 Variante 1;Chorale setting;Organ;;;"Lit.: Emans, Nr. 91: described as ""BWV 655, Variante""";NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 392;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000749?lang=en
Bach, Johann Sebastian (1685–1750);Herr Jesu Christ, dich zu uns wend (F major, variant);BWV 655 Variante 2;Chorale setting;Organ;;;"Lit.: Emans, No. 92: described as ""BWV 655, Variante""";NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 394;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000750?lang=en
Bach, Johann Sebastian (1685–1750);Herr Jesu Christ, dich zu uns wend (F major, variant);BWV 655 Variante 3;Chorale setting;Organ;;;"Lit.: Emans, No. 93: described as ""BWV 655, Variante""";NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 396;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000751?lang=en
Bach, Johann Sebastian (1685–1750);Herr Jesu Christ, dich zu uns wend (F major, variant);BWV 655 Variante 4;Chorale setting;Organ;;;"Lit.: Emans, No. 94: described as ""BWV 655, Variante; attributed to G. Ph. Telemann (with reservations)";NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 397;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000752?lang=en
Bach, Johann Sebastian (1685–1750);Herr Jesu Christ, dich zu uns wend (Trio);BWV 655a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 140 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 70ff.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000753?lang=en
Bach, Johann Sebastian (1685–1750);Herr Jesu Christ, dich zu uns wend;BWV 655b [BWV 1950];Chorale setting;Organ;;;Lit.: NBA IV/2 KB (Hans Klotz), p. 70f.;NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 386;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000754?lang=en
Bach, Johann Sebastian (1685–1750);Herr Jesu Christ, dich zu uns wend;BWV 655c [BWV 1950];Chorale setting;Organ;;;Lit.: NBA IV/2 KB (Hans Klotz), p. 71;NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 390;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000755?lang=en
Bach, Johann Sebastian (1685–1750);O Lamm Gottes, unschuldig (18 chorale preludes);BWV 656;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 38 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 72f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000756?lang=en
Bach, Johann Sebastian (1685–1750);O Lamm Gottes, unschuldig;BWV 656a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 146 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 72f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000757?lang=en
Bach, Johann Sebastian (1685–1750);Nun danket alle Gott (18 chorale preludes);BWV 657;Chorale setting;Organ;;;Weimarer und Leipziger Fassung (beide identisch);NBANBA, IV/2, S. 46 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 73f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000758?lang=en
Bach, Johann Sebastian (1685–1750);Von Gott will ich nicht lassen (18 chorale preludes);BWV 658;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 51 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 74f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000759?lang=en
Bach, Johann Sebastian (1685–1750);Von Gott will ich nicht lassen (Fantasia);BWV 658a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 154 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 74f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000760?lang=en
Bach, Johann Sebastian (1685–1750);Nun komm, der Heiden Heiland (18 chorale preludes);BWV 659;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 55 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 75f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000761?lang=en
Bach, Johann Sebastian (1685–1750);Nun komm, der Heiden Heiland (Fantasia);BWV 659a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 157 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 75f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000762?lang=en
Bach, Johann Sebastian (1685–1750);Trio super: Nun komm, der Heiden Heiland (18 chorale preludes);BWV 660;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 59 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 76ff.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000763?lang=en
Bach, Johann Sebastian (1685–1750);Nun komm, der Heiden Heiland (Trio);BWV 660a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 160 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 76ff.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000764?lang=en
Krebs, Johann Tobias ? (1690–1762);Nun komm, der Heiden Heiland;BWV 660b;Chorale setting;Organ;;;"Lit.: Emans, No. 138; arrangement of BWV 660a by J. T. Krebs?, s. NBA IV/2 KB (Hans Klotz), p. 77";NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 453;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000765?lang=en
Bach, Johann Sebastian (1685–1750);Nun komm, der Heiden Heiland (18 chorale preludes);BWV 661;Chorale setting;Organ;;;cantus firmus im Pedal;NBANBA, IV/2, S. 62 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 78);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000766?lang=en
Bach, Johann Sebastian (1685–1750);Nun komm, der Heiden Heiland;BWV 661a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 164 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 78);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000767?lang=en
Bach, Johann Sebastian (1685–1750);Allein Gott in der Höh sei Ehr (18 chorale preludes);BWV 662;Chorale setting;Organ;;;cantus firmus im Sopran;NBANBA, IV/2, S. 67 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 79ff.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000768?lang=en
Bach, Johann Sebastian (1685–1750);Allein Gott in der Höh sei Ehr;BWV 662a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 168 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 79ff.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000769?lang=en
Bach, Johann Sebastian (1685–1750);Allein Gott in der Höh sei Ehr (18 chorale preludes);BWV 663;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 72 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 81);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000770?lang=en
Bach, Johann Sebastian (1685–1750);Allein Gott in der Höh sei Ehr;BWV 663a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 172 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 81);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000771?lang=en
Bach, Johann Sebastian (1685–1750);Trio super: Allein Gott in der Höh sei Ehr (18 chorale preludes);BWV 664;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 79 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 82f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000772?lang=en
Bach, Johann Sebastian (1685–1750);Allein Gott in der Höh sei Ehr (Trio);BWV 664a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 82f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000773?lang=en
Bach, Johann Sebastian (1685–1750);Allein Gott in der Höh sei Ehr (Trio);BWV 664b;Chorale setting;Organ;;;"sogenannter ""Weimarer Entwurf"" (H. Klotz, IV/2, S. 47: ""geht der Druck mittelbar Bachs Entwurf zurück""); aber vermutlich eine fremde Bearbeitung von 664a";NBANBA, IV/2, S. 179 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 82f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000774?lang=en
Bach, Johann Sebastian (1685–1750);Jesus Christus, unser Heiland (18 chorale preludes);BWV 665;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 87 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 83);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000775?lang=en
Bach, Johann Sebastian (1685–1750);Jesus Christus, unser Heiland;BWV 665a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2, S. 187 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 83);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000776?lang=en
Bach, Johann Sebastian (1685–1750);Jesus Christus, unser Heiland (18 chorale preludes);BWV 666;Chorale setting;Organ;;;jüngere Fassung (vermutlich schon in Weimar entstanden);NBANBA, IV/2, S. 91 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 84);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000777?lang=en
Bach, Johann Sebastian (1685–1750);Jesus Christus, unser Heiland;BWV 666a;Chorale setting;Organ;;;the earliest version (Weimar);NBANBA, IV/2, S. 191 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 84);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000778?lang=en
Bach, Johann Sebastian (1685–1750);Komm, Gott Schöpfer, heiliger Geist (18 chorale preludes);BWV 667;Chorale setting;Organ;;;Leipziger Fassung;NBANBA, IV/2, S. 94 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 84f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000779?lang=en
Bach, Johann Sebastian (1685–1750);Komm, Gott Schöpfer, heiliger Geist;BWV 667a;Chorale setting;Organ;;;"early version (Weimar) of ""18 chorale preludes""";NBANBA, IV/2 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 84f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000780?lang=en
Bach, Johann Sebastian (1685–1750);Komm, Gott Schöpfer, heiliger Geist;BWV 667b;Chorale setting;Organ;;;Weimarer Entwurf;NBANBA, IV/2, S. 194 (Hans Klotz, 1958) – Critical report (1957), S. 58-85 (S. 84f.);Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000781?lang=en
Bach, Johann Sebastian (1685–1750);Vor deinen Thron tret ich hiermit (fragment) (18 chorale preludes);BWV 668;Chorale setting;Organ;;;"later version of BWV 668a ""Wenn wir in höchsten Nöten""";NBANBA, IV/2, S. 113 (Hans Klotz, 1958) – Critical report (1957), S. 102ff.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000782?lang=en
Bach, Johann Sebastian (1685–1750);Wenn wir in höchsten Nöten;BWV 668a;Chorale setting;Organ;;;"cf. later version BWV 668 (fragment) ""Vor deinen Thron tret ich hiermit""";NBANBA, IV/2, S. 212 (Hans Klotz, 1958) – Critical report (1957), S. 102ff.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000783?lang=en
Bach, Johann Sebastian (1685–1750);"Kyrie, Gott Vater in Ewigkeit (""Klavierübung, Teil 3"")";BWV 669;Chorale setting;Organ;;;;NBANBA, IV/4, S. 16 (Manfred Tessmer, 1969) – Critical report (1974), S. 37;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000784?lang=en
Bach, Johann Sebastian (1685–1750);"Christe, aller Welt Trost (""Klavierübung, Teil 3"")";BWV 670;Chorale setting;Organ;;;;NBANBA, IV/4, S. 18 (Manfred Tessmer, 1969) – Critical report (1974), S. 37f.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000785?lang=en
Bach, Johann Sebastian (1685–1750);"Kyrie, Gott heiliger Geist (""Klavierübung, Teil 3"")";BWV 671;Chorale setting;Organ;;;;NBANBA, IV/4, S. 20 (Manfred Tessmer, 1969) – Critical report (1974), S. 38f.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000786?lang=en
Bach, Johann Sebastian (1685–1750);"Kyrie, Gott Vater in Ewigkeit (""Klavierübung, Teil 3"")";BWV 672;Chorale setting;Organ;;;manuals only;NBANBA, IV/4, S. 27 (Manfred Tessmer, 1969) – Critical report (1974), S. 39;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000787?lang=en
Bach, Johann Sebastian (1685–1750);"Christe, aller Welt Trost (""Klavierübung, Teil 3"")";BWV 673;Chorale setting;Organ;;;manuals only;NBANBA, IV/4, S. 28 (Manfred Tessmer, 1969) – Critical report (1974), S. 39;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000788?lang=en
Bach, Johann Sebastian (1685–1750);"Kyrie, Gott heiliger Geist (""Klavierübung, Teil 3"")";BWV 674;Chorale setting;Organ;;;manuals only;NBANBA, IV/4, S. 29 (Manfred Tessmer, 1969) – Critical report (1974), S. 39;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000789?lang=en
Bach, Johann Sebastian (1685–1750);"Allein Gott in der Höh sei Ehr (""Klavierübung, Teil 3"")";BWV 675;Chorale setting;Organ;;;;NBANBA, IV/4, S. 30 (Manfred Tessmer, 1969) – Critical report (1974), S. 39;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000790?lang=en
Bach, Johann Sebastian (1685–1750);"Allein Gott in der Höh sei Ehr (""Klavierübung, Teil 3"")";BWV 676;Chorale setting;Organ;;;;NBANBA, IV/4, S. 33 (Manfred Tessmer, 1969) – Critical report (1974), S. 40;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000791?lang=en
Bach, Johann Sebastian ? (1685–1750);Allein Gott in der Höh sei Ehr (variant);BWV 676a;Chorale setting;Organ;;;Shortened and simplified variant (arrangement), the authenticity of which is doubted (score s. NBA, KB IV/4, p. 48ff. and BG 40, p. 208f.).;"NBANBA, IV/4, -- (Manfred Tessmer, 1969) – Critical report (1974), S. 33f.; Notentext: S. 48ff.";Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000792?lang=en
Bach, Johann Sebastian (1685–1750);"Fughetta super: Allein Gott in der Höh sei Ehr (""Klavierübung, Teil 3"")";BWV 677;Chorale setting;Organ;;;manuals only;NBANBA, IV/4, S. 41 (Manfred Tessmer, 1969) – Critical report (1974), S. 40;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000793?lang=en
Bach, Johann Sebastian (1685–1750);"Dies sind die heiligen zehen Gebot (""Klavierübung, Teil 3"")";BWV 678;Chorale setting;Organ;;;;NBANBA, IV/4, S. 42 (Manfred Tessmer, 1969) – Critical report (1974), S. 40f.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000794?lang=en
Bach, Johann Sebastian (1685–1750);"Fughetta super: Dies sind die heiligen zehen Gebot (""Klavierübung, Teil 3"")";BWV 679;Chorale setting;Organ;;;manuals only;NBANBA, IV/4, S. 49 (Manfred Tessmer, 1969) – Critical report (1974), S. 41;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000795?lang=en
Bach, Johann Sebastian (1685–1750);"Wir gläuben all an einen Gott (""Klavierübung, Teil 3"")";BWV 680;Chorale setting;Organ;;;;NBANBA, IV/4, S. 52 (Manfred Tessmer, 1969) – Critical report (1974), S. 41;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000796?lang=en
Bach, Johann Sebastian (1685–1750);"Fughetta super: Wir gläuben all an einen Gott (""Klavierübung, Teil 3"")";BWV 681;Chorale setting;Organ;;;manuals only;NBANBA, IV/4, S. 57 (Manfred Tessmer, 1969) – Critical report (1974), S. 41f.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000797?lang=en
Bach, Johann Sebastian (1685–1750);"Vater unser im Himmelreich (""Klavierübung, Teil 3"")";BWV 682;Chorale setting;Organ;;;;NBANBA, IV/4, S. 58 (Manfred Tessmer, 1969) – Critical report (1974), S. 42;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000798?lang=en
Bach, Johann Sebastian (1685–1750);"Vater unser im Himmelreich (""Klavierübung, Teil 3"")";BWV 683;Chorale setting;Organ;;;manuals only;NBANBA, IV/4, S. 66 (Manfred Tessmer, 1969) – Critical report (1974), S. 42;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000799?lang=en
Bach, Johann Sebastian ? (1685–1750);Vater unser im Himmelreich (variant);BWV 683a;Chorale setting;Organ;;;variante (arrangement) of BWV 683, the authenticity of which is doubted (score s. NBA, KB IV/4, p. 51ff. and Peters V).;"NBANBA, IV/4, -- (Manfred Tessmer, 1969) – Critical report (1974), S. 33f.; Notentext: S. 51ff.";Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000800?lang=en
Bach, Johann Sebastian (1685–1750);"Christ unser Herr zum Jordan kam (""Klavierübung, Teil 3"")";BWV 684;Chorale setting;Organ;;;;NBANBA, IV/4, S. 68 (Manfred Tessmer, 1969) – Critical report (1974), S. 42f.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000801?lang=en
Bach, Johann Sebastian (1685–1750);"Christ unser Herr zum Jordan kam (""Klavierübung, Teil 3"")";BWV 685;Chorale setting;Organ;;;manuals only;NBANBA, IV/4, S. 73 (Manfred Tessmer, 1969) – Critical report (1974), S. 43;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000802?lang=en
Bach, Johann Sebastian (1685–1750);"Aus tiefer Not schrei ich zu dir (""Klavierübung, Teil 3"")";BWV 686;Chorale setting;Organ;;;;NBANBA, IV/4, S. 74 (Manfred Tessmer, 1969) – Critical report (1974), S. 43;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000803?lang=en
Bach, Johann Sebastian (1685–1750);"Aus tiefer Not schrei ich zu dir (""Klavierübung, Teil 3"")";BWV 687;Chorale setting;Organ;;;manuals only;NBANBA, IV/4, S. 78 (Manfred Tessmer, 1969) – Critical report (1974), S. 43f.;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000804?lang=en
Bach, Johann Sebastian (1685–1750);"Jesus Christus, unser Heiland, der von uns den Zorn Gottes wandt (""Klavierübung, Teil 3"")";BWV 688;Chorale setting;Organ;;;;NBANBA, IV/4, S. 81 (Manfred Tessmer, 1969) – Critical report (1974), S. 44;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000805?lang=en
Bach, Johann Sebastian (1685–1750);"Fuga super: Jesus Christus, unser Heiland (""Klavierübung, Teil 3"")";BWV 689;Chorale setting;Organ;;;manuals only;NBANBA, IV/4, S. 89 (Manfred Tessmer, 1969) – Critical report (1974), S. 44;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000806?lang=en
Bach, Johann Sebastian (1685–1750);Wer nur den lieben Gott lässt walten;BWV 690;Chorale setting;Organ;;;mit beziffertem Satz des Chorals (= 690/2) überliefert;NBANBA, IV/3, S. 98 (Hans Klotz, 1961) – Critical report (1962), S. 61;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000807?lang=en
Bach, Johann Sebastian (1685–1750);Wer nur den lieben Gott lässt walten;BWV 691;Chorale setting;Organ;;;"EZ EZ spätestens 1720/1721; manuals only";NBANBA, V/4, S. 90 (Georg von Dadelsen, 1957) – Critical report (1957), S. 84;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000808?lang=en
Bach, Johann Sebastian ? (1685–1750);Wer nur den lieben Gott lässt walten (variant);BWV 691a / Anh. II 79‑>;Chorale setting;Organ;;;"Autorschaft bezweifelt, vielleicht spätere Bearbeitung?; Lit.: Emans, Nr. 178";NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 501;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000809?lang=en
Walther, Johann Gottfried (1684–1748);Ach Gott und Herr;BWV 692 / Anh. III 172‑>;Chorale setting;Organ;;;Fehlzuschreibung an J. S. Bach durch Breitkopf (s. D-B Am.B 72a);NBANBA, IV/11, -- (Peter Wollny, 2003) – Critical report (2004), S. 180;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000810?lang=en
Walther, Johann Gottfried (1684–1748);Ach Gott und Herr (early version);BWV 692a / Anh. III 172‑>;Chorale setting;Organ;;;"J. G. Walther zugewiesen, s. Emans, Nr. 7 (vgl. Nr. 6, Vers 4); DDT 26/27, Nr. 3, Vers 4";NBANBA, IV/11, -- (Peter Wollny, 2003) – Critical report (2004), S. 180;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000811?lang=en
Walther, Johann Gottfried (1684–1748);Ach Gott und Herr;BWV 693 / Anh. III 172‑>;Chorale setting;Organ;;;Fehlzuschreibung an J. S. Bach durch Breitkopf (s. D-B Am.B 72a);NBANBA, IV/11, -- (Peter Wollny, 2003) – Critical report (2004), S. 180;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000812?lang=en
Bach, Johann Sebastian (1685–1750);Wo soll ich fliehen hin;BWV 694;Chorale setting;Organ;;;;NBANBA, IV/3, S. 103 (Hans Klotz, 1961) – Critical report (1962), S. 62;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000813?lang=en
Bach, Johann Sebastian (1685–1750);Fantasia super: Christ lag in Todesbanden;BWV 695;Chorale setting;Organ;;;manuals only;NBANBA, IV/3, S. 20 (Hans Klotz, 1961) – Critical report (1962), S. 45;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000814?lang=en
Bach, Johann Sebastian ? (1685–1750);Christ lag in Todesbanden (variant);BWV 695a;Chorale setting;Organ;;;"Autorschaft bezweifelt, vielleicht spätere Bearbeitung?; Lit.: Emans, Nr. 40";NBANBA, IV/10, -- (Reinmar Emans, 2007) – Critical report (2008), S. 325;Übernahme von www.bach.gwdg.de;;https://www.bach-digital.de/receive/BachDigitalWork_work_00000815?lang=en
